docid	prediction
p4659	"{
         ""quality"": ""High Quality""
     }"
p10	"{
        ""quality"": ""High Quality""
     }"
p5472	"{
         ""quality"": ""High Quality""
     }"
p3359	"{
        ""quality"": ""High Quality""
     }"
p10159	"{
         ""quality"": ""High Quality""
     }"
p1144	"{
         ""quality"": ""Medium Quality""
     }"
p2123	"{
         ""quality"": ""High Quality""
     }"
p4081	"{
        ""quality"": ""High Quality""
     }"
p6370	"{
         ""quality"": ""High Quality""
     }"
p10070	"{
         ""quality"": ""High Quality""
     }"
p1477	"{
        ""quality"": ""High Quality""
    }"
p3661	"{
         ""quality"": ""High Quality""
     }"
p3100	"{
         ""quality"": ""High Quality""
     }"
p9617	"{
         ""quality"": ""High Quality""
     }"
p8279	"{
         ""quality"": ""High Quality""
     }"
p6542	"{
         ""quality"": ""Low Quality""
     }"
p3762	"{
        ""quality"": ""High Quality""
     }"
p6049	"{
         ""quality"": ""High Quality""
     }"
p9400	"{
         ""quality"": ""High Quality""
     }"
p3535	"{
        ""quality"": ""Spam""
     }"
p545	"{
        ""quality"": ""Low Quality""
     }"
p3419	"{
        ""quality"": ""High Quality""
     }"
p9016	"{
         ""quality"": ""High Quality""
     }"
p8232	"{
        ""quality"": ""High Quality""
     }"
p969	"{
         ""quality"": ""High Quality""
     }"
p2748	"{
        ""quality"": ""High Quality""
     }"
p9291	"{
         ""quality"": ""High Quality""
     }"
p9187	"{
        ""quality"": ""High Quality""
    }"
p3095	"{
        ""quality"": ""Low Quality""
    }"
p3155	"{
         ""quality"": ""High Quality""
     }"
p1749	"{
        ""quality"": ""Spam""
     }"
p5898	"{
        ""quality"": ""Medium Quality""
    }"
p7277	"{
         ""quality"": ""High Quality""
     }"
p345	"{
         ""quality"": ""High Quality""
     }"
p8310	"{
         ""quality"": ""Medium Quality""
     }"
p5328	"{
         ""quality"": ""High Quality""
     }"
p10126	"{
         ""quality"": ""High Quality""
     }"
p1092	"{
         ""quality"": ""High Quality""
     }"
p7230	"{
         ""quality"": ""High Quality""
     }"
p7695	"{
         ""quality"": ""High Quality""
     }"
p2960	"{
         ""quality"": ""High Quality""
     }"
p1668	"{
        ""quality"": ""High Quality""
     }"
p10673	"{
         ""quality"": ""High Quality""
     }"
p3770	"{
        ""quality"": ""High Quality""
     }"
p6285	"{
        ""quality"": ""High Quality""
     }"
p8685	"{
         ""quality"": ""High Quality""
     }"
p1583	"{
         ""quality"": ""High Quality""
     }"
p10959	"{
        ""quality"": ""High Quality""
     }"
p2263	"{
        ""quality"": ""High Quality""
     }"
p762	"{
         ""quality"": ""High Quality""
     }"
p10567	"{
         ""quality"": ""High Quality""
     }"
p5345	"{
         ""quality"": ""High Quality""
     }"
p6096	"{
        ""quality"": ""Medium Quality""
    }"
p1718	"{
         ""quality"": ""High Quality""
     }"
p1288	"{
        ""quality"": ""High Quality""
     }"
p11589	"{
         ""quality"": ""High Quality""
     }"
p5903	"{
         ""quality"": ""Medium Quality""
     }"
p7704	"{
         ""quality"": ""Medium Quality""
     }"
p7959	"{
        ""quality"": ""Medium Quality""
    }"
p8625	"{
         ""quality"": ""High Quality""
     }"
p1406	"{
         ""quality"": ""High Quality""
     }"
p6045	"{
         ""quality"": ""High Quality""
     }"
p3740	"{
        ""quality"": ""High Quality""
     }"
p8088	"{
         ""quality"": ""High Quality""
     }"
p2650	"{
         ""quality"": ""High Quality""
     }"
p6785	"{
         ""quality"": ""High Quality""
     }"
p7008	"{
         ""quality"": ""High Quality""
     }"
p874	"{
        ""quality"": ""High Quality""
     }"
p5561	"{
         ""quality"": ""High Quality""
     }"
p148	"{
         ""quality"": ""High Quality""
     }"
p5239	"{
        ""quality"": ""High Quality""
    }"
p7391	"{
        ""quality"": ""High Quality""
     }"
p4051	"{
         ""quality"": ""High Quality""
     }"
p5982	"{
         ""quality"": ""High Quality""
     }"
p3427	"{
         ""quality"": ""High Quality""
     }"
p5652	"{
         ""quality"": ""High Quality""
     }"
p6415	"{
         ""quality"": ""High Quality""
     }"
p4626	"{
        ""quality"": ""High Quality""
    }"
p107	"{
         ""quality"": ""High Quality""
     }"
p1084	"{
         ""quality"": ""High Quality""
     }"
p11309	"{
         ""quality"": ""High Quality""
     }"
p5746	"{
         ""quality"": ""High Quality""
     }"
p7888	"{
         ""quality"": ""High Quality""
     }"
p4119	"{
        ""quality"": ""High Quality""
     }"
p531	"{
         ""quality"": ""High Quality""
     }"
p10902	"{
        ""quality"": ""High Quality""
    }"
p10589	"{
         ""quality"": ""High Quality""
     }"
p8483	"{
        ""quality"": ""Medium Quality""
     }"
p3868	"{
         ""quality"": ""High Quality""
     }"
p10883	"{
         ""quality"": ""High Quality""
     }"
p4522	"{
         ""quality"": ""Low Quality""
     }"
p2296	"{
         ""quality"": ""High Quality""
     }"
p4976	"{
         ""quality"": ""High Quality""
     }"
p8959	"{
         ""quality"": ""High Quality""
     }"
p1426	"{
         ""quality"": ""Low Quality""
     }"
p1708	"{
         ""quality"": ""High Quality""
     }"
