qid	docid	prediction
q10	p4849	"{""relevance"": 2, ""explanation"": ""The passage explains the purpose of a specific type of military aircraft, which includes making low-level attacks, but it does not directly answer the question of why pilots purposely fly low in general.""}"
q10	p6121	"{""relevance"": 0, ""explanation"": ""The passage does not mention pilots flying low for any purpose, it only talks about the history of attack aircraft in World War I and II.""}"
q10	p8525	"{""relevance"": 0, ""explanation"": ""The passage does not mention pilots flying low, instead it talks about bombers flying high to avoid defensive measures.""}"
q10	p3514	"{""relevance"": 2, ""explanation"": ""The passage explains a specific scenario where pilots fly low, which is related to the query, but it doesn't provide a general answer to why pilots purposely fly low.""}"
q10	p4086	"{""relevance"": 1, ""explanation"": ""The passage mentions military aircraft operating at lower altitudes, which is related to the query about pilots flying low, but it does not provide a direct answer to why pilots do so.""}"
q10	p10264	"{""relevance"": 1, ""explanation"": ""The passage mentions 'low-flying' in the context of cruise missiles, which is related to the query about pilots flying low, but it does not provide a direct answer to the question of why pilots do so.""}"
q10	p8485	"{""relevance"": 0, ""explanation"": ""The passage discusses the different categories of military aircraft, but does not provide any information about pilots flying low or the reasons behind it, making it irrelevant to the query.""}"
q10	p2229	"{""relevance"": 0, ""explanation"": ""The passage does not mention pilots or flying low, it talks about surface-to-air missiles and their functionality, which is unrelated to the query.""}"
q10	p11486	"{""relevance"": 0, ""explanation"": ""The passage is about the general mission and responsibilities of an air force, but it does not mention pilots flying low or provide any explanation for such an action.""}"
q10	p5184	"{""relevance"": 0, ""explanation"": ""The passage does not mention pilots flying low or any reason for doing so, it appears to be discussing job opportunities in agricultural flying and unrelated to the query.""}"
q10	p3749	"{""relevance"": 3, ""explanation"": ""The passage directly answers the query by stating that one of the main duties of an AG pilot is 'Flying low and avoiding obstacles such as power lines', which perfectly addresses the query of why pilots purposely fly low.""}"
q10	p10068	"{""relevance"": 2, ""explanation"": ""The passage is highly relevant to the query as it discusses flying at low altitudes and the regulations surrounding it, but it does not directly answer why pilots would purposely fly low.""}"
q10	p11150	"{""relevance"": 2, ""explanation"": ""The passage describes a specific historical event where pilots flew low altitude, but it does not directly answer the question of why pilots purposely fly low in general, it only provides an example of such an action in a particular context.""}"
q10	p7858	"{""relevance"": 0, ""explanation"": ""The passage does not mention pilots flying low or provide any information related to the query, it discusses the development of monoplane fighters and bombers.""}"
q10	p6319	"{""relevance"": 3, ""explanation"": ""The passage directly answers the query by explaining that pilots fly low to inspect power lines or pipeline routes for signs of damage, leaks, or to find the cause of reported outages.""}"
q10	p6120	"{""relevance"": 2, ""explanation"": ""The passage does not directly answer why pilots purposely fly low, but it does discuss how pilots may fly too high or too low on approach due to certain conditions, which is related to the query.""}"
q10	p3844	"{""relevance"": 0, ""explanation"": ""The passage discusses specific procedures and clearances related to flying approaches, but does not mention flying low or provide any explanation for why pilots might do so.""}"
q10	p1959	"{""relevance"": 0, ""explanation"": ""The passage is about air traffic control instructions for a missed approach, but it does not mention pilots flying low or provide any reason for doing so.""}"
q10	p5796	"{""relevance"": 0, ""explanation"": ""The passage discusses altitude corrections and missed approach procedures, but does not mention pilots flying low or provide any explanation for doing so.""}"
q10	p10860	"{""relevance"": 2, ""explanation"": ""The passage explains a scenario where pilots fly low to avoid radar detection, which is related to the query, but it's not a direct answer and the context is specific to drug smugglers.""}"
q10	p7474	"{""relevance"": 2, ""explanation"": ""The passage mentions pilots flying low, but in the context of the B-1 Lancer's Low Observable technology, which is related to the query, but the passage doesn't explicitly answer why pilots purposely fly low.""}"
q10	p3478	"{""relevance"": 0, ""explanation"": ""The passage does not mention pilots flying low, it actually describes the SR-71 flying at a higher altitude to avoid detection.""}"
q10	p7657	"{""relevance"": 0, ""explanation"": ""The passage does not mention pilots flying low or provide any explanation for such behavior, it only talks about pilots relying on other pilots for reports of turbulence and unexpected problems.""}"
q10	p3365	"{""relevance"": 0, ""explanation"": ""The passage is about the B-21 bomber and its design, but it does not mention pilots flying low or provide any information related to the query.""}"
q10	p4255	"{""relevance"": 2, ""explanation"": ""The passage is related to flying and radar detection, which is connected to the query about pilots flying low, but it doesn't directly answer the question of why pilots do so.""}"
q10	p3274	"{""relevance"": 0, ""explanation"": ""The passage does not mention pilots flying low or any reason related to flying, it talks about CO leaks in small aircraft cabins and truck cabs, which is unrelated to the query.""}"
q10	p11577	"{""relevance"": 2, ""explanation"": ""The passage explains a scenario where a pilot flies low, but it's for a specific military purpose, not the general reason why pilots fly low, so it's highly relevant but not perfectly relevant.""}"
q10	p11149	"{""relevance"": 0, ""explanation"": ""The passage is about the definition of the verb'strafe' and has no relation to pilots flying low or any aviation-related topic.""}"
q10	p10072	"{""relevance"": 2, ""explanation"": ""The passage describes the challenges of flying low, but does not explicitly explain why pilots do so, it provides context and details about the difficulties of flying low, making it highly relevant but not perfectly relevant.""}"
q10	p7105	"{""relevance"": 0, ""explanation"": ""The passage does not mention pilots flying low or provide any reason for doing so, it appears to be a narrative about a bomber and gliders in a specific situation, unrelated to the query.""}"
q10	p3291	"{""relevance"": 1, ""explanation"": ""The passage mentions flying at low altitude, but it does not explain why pilots would purposely fly low, it only discusses scenarios where low flying might be necessary or unavoidable.""}"
q10	p4244	"{""relevance"": 2, ""explanation"": ""The passage does not directly answer the query 'why do pilots purposely fly low', but it mentions'specially trained pilots' operating 'deep inside enemy territory', which implies that they might be flying low for a specific reason, making it highly relevant.""}"
q27	p3419	"{""relevance"": 3, ""explanation"": ""The passage provides a step-by-step guide on how to cook thin sliced potatoes, which is exactly what the query is asking for, making it perfectly relevant.""}"
q27	p9016	"{""relevance"": 3, ""explanation"": ""The passage provides a step-by-step guide on how to cook thin sliced potatoes, which is exactly what the query is asking for.""}"
q27	p969	"{""relevance"": 3, ""explanation"": ""The passage provides a step-by-step guide on how to cook thinly sliced potatoes, which is exactly what the query is asking for.""}"
q27	p9291	"{""relevance"": 3, ""explanation"": ""The passage provides a detailed recipe for cooking thin sliced potatoes, which aligns perfectly with the query of cooking thin sliced home fries, including specific instructions on peeling, slicing, and roasting the potatoes.""}"
q27	p9187	"{""relevance"": 3, ""explanation"": ""The passage provides a step-by-step guide on how to prepare potato slices, which is a crucial step in cooking thin sliced home fries, making it perfectly relevant to the query.""}"
q27	p5898	"{""relevance"": 2, ""explanation"": ""The passage provides a step-by-step guide on how to prepare potato slices, which is a crucial step in cooking thin sliced home fries, but it doesn't explicitly mention the cooking process.""}"
q27	p3427	"{""relevance"": 0, ""explanation"": ""The passage is about cooking fish, not thin sliced home fries, and it mentions mashing potatoes, which is not relevant to cooking home fries.""}"
q27	p10902	"{""relevance"": 2, ""explanation"": ""The passage is related to slicing thin shapes, which is a crucial step in cooking thin sliced home fries, but it doesn't directly provide cooking instructions.""}"
q27	p10589	"{""relevance"": 3, ""explanation"": ""The passage provides a direct and specific instruction on how to slice thin home fries, which is the first step in cooking them, making it perfectly relevant to the query.""}"
q27	p8322	"{""relevance"": 0, ""explanation"": ""The passage is about cooking leeks, not thin sliced home fries, and does not provide any information on how to cook them.""}"
q27	p2829	"{""relevance"": 0, ""explanation"": ""The passage is discussing radishes, their flavor, and how to prepare them, but it does not mention home fries or cooking thin sliced potatoes, which is the topic of the query.""}"
q27	p776	"{""relevance"": 0, ""explanation"": ""The passage does not mention cooking thin sliced home fries at all, it appears to be a recipe for a different dish, mentioning potato buns and canned shoe string potatoes, but not providing any information on cooking home fries.""}"
q27	p5590	"{""relevance"": 3, ""explanation"": ""The passage provides a step-by-step guide on how to cook thin sliced home fries, including peeling, slicing, soaking, and frying the potatoes, which directly answers the query.""}"
q27	p9144	"{""relevance"": 3, ""explanation"": ""The passage directly addresses the query by providing a specific thickness for cutting home fries and a trick to achieve crispy fries, which is a key aspect of cooking them.""}"
q27	p6826	"{""relevance"": 0, ""explanation"": ""The passage is about cooking leeks, not thin sliced home fries, which makes it completely unrelated to the query.""}"
q27	p6523	"{""relevance"": 3, ""explanation"": ""The passage provides a step-by-step guide on how to prepare potatoes for thin sliced home fries, which directly answers the query.""}"
q27	p9173	"{""relevance"": 0, ""explanation"": ""The passage does not mention cooking thin sliced home fries, but instead provides instructions for cooking pasta and sautéing onions, mushrooms, and pancetta.""}"
q27	p27	"{""relevance"": 2, ""explanation"": ""The passage provides a list of ingredients and initial cooking instructions, which are related to cooking thin sliced home fries, but it does not explicitly provide the complete steps for cooking them.""}"
q27	p11595	"{""relevance"": 0, ""explanation"": ""The passage is about the calories in bacon, providing information on the nutritional content of different types of bacon, whereas the query is about cooking thin sliced home fries, which is a completely unrelated topic.""}"
q27	p2796	"{""relevance"": 1, ""explanation"": ""The passage mentions home fries, but it does not provide information on how to cook them, it only mentions that they can be sliced into wide, flat shapes.""}"
q27	p10918	"{""relevance"": 3, ""explanation"": ""The passage provides a step-by-step guide on how to cook thin sliced home fries, including peeling, slicing, drying, and frying the potatoes, which directly answers the query.""}"
q27	p2476	"{""relevance"": 2, ""explanation"": ""The passage provides instructions on how to prepare and slice potatoes, which is a crucial step in cooking thin sliced home fries, but it doesn't explicitly mention cooking methods for home fries.""}"
q27	p759	"{""relevance"": 2, ""explanation"": ""The passage is highly relevant as it talks about cooking thinly sliced potatoes, which is similar to the query about cooking thin sliced home fries, but it doesn't provide specific instructions on how to cook them.""}"
q27	p6422	"{""relevance"": 3, ""explanation"": ""The passage provides a step-by-step guide on how to cook thin sliced potatoes, which is exactly what the query is asking for.""}"
q27	p9091	"{""relevance"": 3, ""explanation"": ""The passage provides a specific instruction on how to slice potatoes thinly, which is a crucial step in cooking thin sliced home fries, making it perfectly relevant to the query.""}"
q27	p608	"{""relevance"": 3, ""explanation"": ""The passage provides a step-by-step guide on how to cook thin sliced potatoes, which is exactly what the query is asking for, making it perfectly relevant.""}"
q27	p8454	"{""relevance"": 2, ""explanation"": ""The passage is highly relevant to the query as it discusses thinly sliced potatoes and mentions different cooking methods, but it doesn't provide a specific recipe or instructions on how to cook thin sliced home fries.""}"
q27	p4165	"{""relevance"": 2, ""explanation"": ""The passage is highly relevant to the query as it provides information on how to cook sliced potatoes, which is similar to cooking thin sliced home fries. Although it doesn't specifically mention 'home fries', the method described can be applied to cooking thin sliced home fries.""}"
